ID,"Needed image or icon, etc",Description,Dimensions,Phase,Priority,Notes,Produced By,Consumed By
FRM-001,Rank Frame — Peasant (peasant.png),"Circular portrait frame overlay on transparent background. Rough-hewn dark oak wood texture with visible grain and minor cracks. Frame border is 30-40px thick. Inner edge has a thin 2px dark brown (#3E2723) bevel. Outer edge has subtle wood knots and a hand-carved look. No gems, no metal — purely rustic wood. Color palette: warm browns (#5D4037, #795548, #4E342E). Slight shadow on the inner ring to create depth for the avatar cutout. Style: hand-painted fantasy RPG, matte finish, no glow effects.",512x512 PNG (transparent),Phase 5 — Reward Systems,P1,assets/frames/peasant.png — composited with player profile picture via Pillow. Avatar sits inside circular cutout (center ~380px diameter). Frame must have clean alpha edges.,P5,"P5, P7, P8"
FRM-002,Rank Frame — Squire (squire.png),"Circular portrait frame overlay on transparent background. Hammered bronze metal frame with brushed copper finish. Frame border 35-45px thick with raised rivets (8 evenly spaced) around outer edge. Inner bevel is polished bronze (#CD7F32) catching light from upper-left. Outer edge has thin engraved rope pattern. Two small crossed-sword emblems at top center (10px each). Color palette: bronze (#CD7F32), dark copper (#B87333), shadow brown (#6D4C1A). Subtle metallic sheen — not flat, not mirror. Style: semi-realistic fantasy metalwork, warm lighting.",512x512 PNG (transparent),Phase 5 — Reward Systems,P1,assets/frames/squire.png — must maintain consistent inner cutout diameter (~380px) across all frames.,P5,"P5, P7, P8"
FRM-003,Rank Frame — Knight (knight.png),"Circular portrait frame overlay on transparent background. Polished silver steel frame with cool blue-silver finish. Frame border 40-50px thick. Four symmetrically placed shield-shaped ornaments at cardinal points (N/S/E/W) each ~20px. Engraved chevron pattern along frame band. Inner edge has sharp beveled ridge with bright specular highlight from upper-left. Outer edge trimmed with thin line of dark gunmetal (#37474F). Color palette: silver (#C0C0C0), steel blue (#607D8B), gunmetal (#37474F), white highlights. Small scratch marks in metal for battle-worn authenticity. Style: polished armor aesthetic, cool-toned lighting.",512x512 PNG (transparent),Phase 5 — Reward Systems,P1,assets/frames/knight.png,P5,"P5, P7, P8"
FRM-004,Rank Frame — Champion (champion.png),"Circular portrait frame overlay on transparent background. Ornate gold frame with rich warm tones. Frame border 45-55px thick with intricate filigree scrollwork carved into the band. Laurel wreath motif at top (two branches meeting at a crown point). Inner edge has deep chamfered bevel with bright gold (#FFD700) highlights. Outer edge decorated with repeating fleur-de-lis pattern. Small ruby-red gems (#B71C1C, 4 total) at diagonal corners, each ~8px with white specular dot. Color palette: rich gold (#FFD700), antique gold (#DAA520), deep amber (#FF8F00), ruby red accents. Style: royal regalia, warm luxurious lighting, hand-gilded look.",512x512 PNG (transparent),Phase 5 — Reward Systems,P1,assets/frames/champion.png,P5,"P5, P7, P8"
FRM-005,Rank Frame — Hero (hero.png),"Circular portrait frame overlay on transparent background. Radiant gold frame with integrated wing motifs. Frame border 50-60px thick. Two sweeping angel/eagle wings extend from left and right sides, each ~60px tall, curving upward beyond the circle boundary. Wings are gold (#FFD700) with individually rendered feather details transitioning from bright gold at base to white-gold (#FFF8E1) at tips. Frame band has hammered gold texture with central groove filled with glowing amber light (#FFAB00, 50% opacity). Inner edge emits soft warm radiance (2-3px glow, #FFF176 at 30% opacity). Five-pointed star emblem at top center between wing bases. Color palette: bright gold, amber glow, white-gold, warm white. Style: epic fantasy, heroic iconography, dramatic top-lit.",512x512 PNG (transparent),Phase 5 — Reward Systems,P1,assets/frames/hero.png — wings extend beyond 512px circle but stay within 512x512 canvas,P5,"P5, P7, P8"
FRM-006,Rank Frame — Legend (legend.png),"Circular portrait frame overlay on transparent background. Platinum-white frame with ethereal luminescence. Frame border 50-65px thick. Material is polished platinum (#E0E0E0) with inner iridescent sheen shifting between pale blue (#BBDEFB) and soft violet (#CE93D8). Eight diamond-shaped crystals evenly spaced around frame, each ~12px, glowing with internal white light (small radial glow 4px, #FFFFFF at 40% opacity). Ornate interlocking chain pattern engraved along frame band. Pair of upswept dragon-horn shapes at top (~30px tall each) in darker platinum (#9E9E9E) with luminous edges. Outer edge emits soft ambient glow (6-8px, pale blue #90CAF9 at 20% opacity). Inner edge has crisp bright-white highlight line (1px). Color palette: platinum white, pale blue, soft violet, diamond white. Style: ethereal high-fantasy, otherworldly radiance, clean and luminous.",512x512 PNG (transparent),Phase 5 — Reward Systems,P1,assets/frames/legend.png,P5,"P5, P7, P8"
FRM-007,Rank Frame — Mythic (mythic.png),"Circular portrait frame overlay on transparent background. Cosmic-tier frame radiating supernatural energy. Frame border 55-70px thick. Base material is obsidian black (#1A1A2E) with veins of molten gold (#FFD700) and electric violet (#7C4DFF) running through it like cracked magma. Outer perimeter surrounded by pulsing energy aura — layered glow rings: inner ring electric violet (#7C4DFF, 8px, 50% opacity), middle ring deep purple (#4A148C, 12px, 30% opacity), outer ring fading to transparent. Floating arcane rune symbols (4 total at diagonals) hovering 5-10px outside frame, each ~15px, glowing cyan (#00E5FF) with soft halos. Crown of cosmic fire at top — three flame tongues in gradient from deep violet base (#4A148C) to bright magenta tip (#FF4081), ~40px tall. Tiny star/sparkle particles (6-8 dots, 2-3px each, white #FFFFFF) scattered in aura zone. Color palette: obsidian black, molten gold, electric violet, cosmic cyan, magenta fire. Style: ultimate mythic/divine, maximum visual impact, dark fantasy with vibrant energy effects.",512x512 PNG (transparent),Phase 5 — Reward Systems,P1,assets/frames/mythic.png — most visually dramatic frame. Energy effects extend to canvas edges.,P5,"P5, P7, P8"
AVT-008,Default Avatar Placeholder (default_avatar.png),"Silhouette of a hooded adventurer figure from shoulders up, centered on transparent background. Figure is solid dark charcoal (#37474F) with no facial features — just outline of hood, shoulders, and slight suggestion of a cloak clasp at neck. Single subtle highlight along hood's left edge (#546E7A) for depth. Behind silhouette, a soft circular gradient glow: center is muted teal (#26A69A at 15% opacity) fading to transparent at ~200px radius. No background, no frame — sits inside frame cutout. Style: mysterious, minimal, dark fantasy — 'unknown hero' placeholder. Clean vector-like edges, no texture noise.",512x512 PNG (transparent),Phase 5 — Reward Systems,P1,assets/frames/default_avatar.png — used by avatar_renderer.py when profile picture missing. Must work visually inside any of the 7 rank frames.,P5,"P5, P7, P8"
COV-009,Notion Page Cover — Dashboard,"Wide banner. Dark fantasy war-room scene viewed from above at slight angle. Large wooden table in center with glowing tactical map — abstract terrain (mountains, rivers, paths) as faint luminous lines (#4FC3F7 at 40% opacity) on aged parchment. Scattered on table: quill pen, inkwell, 2-3 small gold coin stacks, a dagger holding down one map corner, half-melted candle providing warm key light from right. Background fades to deep shadow (#1A1A2E). Left edge shows hint of stone wall with mounted torch (warm orange #FF8F00). Color palette: deep navy (#0D1B2A), warm candlelight (#FFB74D), parchment tan (#D7CCC8), teal map lines, gold coin accents. Mood: strategic command center, atmospheric, cinematic. Style: painted digital art, slightly stylized fantasy illustration.",1500x600 PNG or JPG,Phase 8 — Dashboard & Onboarding,P2,Notion page cover for Daily Dashboard. Keep focal content in center 60% horizontally — Notion crops edges.,P8,P8
COV-010,Notion Page Cover — Character,"Wide banner. Close-up of fantasy character stat sheet carved into stone, viewed straight on. Dark slate stone slab with five glowing stat symbols in horizontal row across center: fist/bicep (STR, red glow #EF5350), open book (INT, blue glow #42A5F5), owl eye (WIS, green glow #66BB6A), heart with pulse line (VIT, orange glow #FFA726), theater mask (CHA, purple glow #AB47BC). Each symbol etched into stone with glow emanating from carved grooves. Above symbols, chiseled text 'CHARACTER' in weathered serif font. Stone has dark slate texture (#37474F) with subtle moss in bottom corners. Ambient blue-white torchlight from above. Color palette: dark slate, colored stat glows, stone grey, moss green accents. Style: carved-stone RPG aesthetic, atmospheric lighting.",1500x600 PNG or JPG,Phase 8 — Dashboard & Onboarding,P2,Notion page cover for Character page. Keep stat symbols centered — Notion crops top and bottom.,P8,P8
